Name, Region, Type, Ownership, Location, Services, NHIS accredited
AHWEREWA CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,AHWEREWA  C/ODHD,General,yes
AHYIRESU CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,AHYIRESU  C/O DHD ADMIN.,General,yes
AKOMAA MEMORIAL SDA HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,ISSION,KORTWIA,General,yes
AKOMADAN HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,AKUMADAN ZONGO,General,yes
AKROFUOM HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,NEW EDUBIASE/AKROFUOM,General,yes
AKROKERRI HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,AKROKERRI MUTASI HOTEL,General,yes
AKROPONG HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,AKROPONG OPPOSITE HIGHWAYS,General,yes
AKROPONG MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,MAIN ROAD AKROPONG,Antenatal  Post-natal,yes
AKUTRESO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,NEW EDUBIASE,General,yes
AKYEREKYEREKROM CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,AKYEKYEREKROM,General,yes
ALBAR PHARMACY,Ashanti Region,PHARMACY,RIVATE,PLT B BLK J SUAME,Pharmacy,yes
ALBAR PHARMACY ANNEX,Ashanti Region,PHARMACY,RIVATE,PLOT 75 BLK K AHWIAA,Pharmacy,yes
ALLEN CLINIC,Ashanti Region,CLINIC,RIVATE,AHINSAN ESTATES NEAR KNUST GATE,General,yes
ALLEN UROLOGICAL CLINIC,Ashanti Region,CLINIC,RIVATE,AHINSAN ESTATE,General,yes
ALPHA MEDICAL LABORATORY,Ashanti Region,LABORATORY,RIVATE,ABOABO HIGHWAY,Laboratory,yes
AMA DANSOWAA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,ANOMANGYE-MPATASIE,Antenatal  Post-natal,yes
AMAAMATA MEMORIAL MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,SAWABA TROTRO STATION ASOKORE MAMPONG RD,Antenatal  Post-natal,yes
AMANFROM HOSPITAL,Ashanti Region,primary hospital,rivate,Amanfrom New site,general services  scan ECG services antenatal pharmacy laboratory pediatrics surgery   ,no
AMANTENAMAN(NYINAMPONASE) H/ C,Ashanti Region,HEALTH CENTRE,OVERNMENT,NEAR COUNCIL HALL,General,yes
AMEDILAB,Ashanti Region,LABORATORY,RIVATE,ADONTEN NE ROAD,Laboratory,yes
AMOAH MEMORIAL HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,PANKRONO MARKET,General,yes
AMPABAME CLINIC AND MATERNITY,Ashanti Region,CLINIC,RIVATE,ABREPO JUNCTION STREET,General,yes
AMPUNYASE HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,AMPUNYASE JUNCTION,General,yes
ANANE/AYA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,AKWASIASE HN AK 21,Antenatal  Post-natal,yes
ANANEKROM HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,NEAR MARKET SQUARE,General,yes
ANDAMESON PHARMACY,Ashanti Region,PHARMACY,RIVATE,ANTOBOASI SAMDA ST,Pharmacy,yes
ANGLICAN EYE CLINIC,Ashanti Region,EYE CLINIC (OPTICAL),ISSION,JACHIE,Eye care,yes
ANGLICAN HEALTH CENTRE TANO-ODUMASI,Ashanti Region,HEALTH CENTRE,ISSION,TANO ODUMASI,General,yes
ANGLOGOLD ASHANTI HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,overnment,OBUASI,General,yes
ANHWIASO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,ANHWIASO,General,yes
ANIDASO CLINIC,Ashanti Region,CLINIC,RIVATE,NEAR ANWIANKWNATA,General,yes
ANINWAH MEDICAL CENTRE,Ashanti Region,PRIMARY HOSPITAL,RIVATE,EMENA,General,yes
ANITEMFE CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,ANITEMFE,General,yes
ANKAM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,ANKAM,General,yes
ANTOA HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MAMPONTENG,General,yes
ANTOAKROM HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,ANTOAKROM,General,yes
ANTWIS MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,MARKET ROAD NEAR THE PENTECOST CHURCH,Antenatal  Post-natal,yes
ANWIAM CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,AFFUL NKWANTA AMAKOM,General,yes
ANWOMASO COMMUNITY MATERNITY/ CLINIC,Ashanti Region,CHPS COMPOUND,OVERNMENT,ANWOMASO M/A PRIM SCH,General,yes
ANYINASOSU CLINIC,Ashanti Region,HEALTH CENTRE,ISSION,ANYINASUSO,General,yes
ANYINASUSO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ANYINASUSO TEPA,General,yes
ANYINOFI HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,NEAR WORLD VISION QUATAR,General,yes
APATRAPA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ACHIAA PANIN 11 ST,General,yes
APEMANIM CHPS,Ashanti Region,chps compound,overnment,APEMANIM  BY THE MAIN ROAD OPPOSITE THE PRIMARY SCHOOL,General,yes
APIKRIST PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,ST PATRICK HOSPITAL STREET,Pharmacy,yes
APROMASE GOVERNMENT CLINIC,Ashanti Region,HEALTH CENTRE,OVERNMENT,APROMASE,General,yes
ASAAM HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MAMPONG KOFIASE RD,General,yes
ASAFO ADJEI HOSPITAL LTD,Ashanti Region,PRIMARY HOSPITAL,RIVATE,OLD BEKWAI RD PLOT 17 VIA AHODWO,General,yes
ASAFO-BOAKYE SPECIALIST HOSPITAL,Ashanti Region,health centre,rivate,Ahanema-kokoben,general services  scan ECG services antenatal pharmacy laboratory pediatrics surgery dental eye services ,no
ASAMANG CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,DOMI ASAMANG,General,yes
ASEMPA CLINIC AND MATERNITY HOME,Ashanti Region,CLINIC,RIVATE,GAUSU RIDGE,General,yes
ASHBYS PHARMACY,Ashanti Region,PHARMACY,RIVATE,BEHIND SHELL FILLING STATION,Pharmacy,yes
ASIWA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,RHA ASIWA,General,yes
ASOKWA CHILDRENS HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,LAKE ROAD ASOKWA INDUSTRIAL AREA,General,yes
ASOKWA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ASOKWA ON HWREMOASE RD,General,yes
ASUBUASU HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ASUBOASU,General,yes
ASUHYIA CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,MANFO - ASUHYIAE,General,yes
ASUHYIAE CHPS COMPOUND,Ashanti Region,chps compound,overnment,MANFO - ASUHYIAE  BOX 95  TEPA,General,yes
ASUOFUA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ASUOFUA,General,yes
ATAASE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ATAASE NKWANTA,General,yes
ATASOMANSO HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ATASEMANSO,General,yes
ATOBIASE CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,JACOBU,General,yes
ATOBIASE CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,JACOBU  P.O.BOX 3  C/O DISTRICT HEALTH DIRECTORATE,General,yes
ATONSU HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ATONSU,General,yes
ATWEREBOANA  CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,ATWEREBOANA,General,yes
ATWEREBOANA CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,ATWEREBOANA  BOX 12 NEW EDUBIASE,General,yes
ATWIMA MAAKRO CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ALONG MAAKRO AGOGO ROAD,General,yes
ATWIMA MPONUA DISTRICT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,KUMASI BIBIANI HIGHWAY,General,yes
AYEDUASE CLINIC,Ashanti Region,CHPS COMPOUND,OVERNMENT,AYEDUASE UNIVERSITY GATE,General,yes
AYIWA MEMORIAL MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,OPPOSITE CASABLANA PHARM,Antenatal  Post-natal,yes
AYUSH MEMORIAL HOSPITAL,Ashanti Region,CLINIC,RIVATE,HNO. 32/3 FEYIASE,General,yes
BABY PEARL MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,HSE NO. B41  SECOND CLOSE BUOKROM ESTATE,Antenatal  Post-natal,yes
BAKAPS CHEMIST,Ashanti Region,PHARMACY,RIVATE,BOHYEN HIGH STREET/OPP MARKET,Pharmacy,yes
BANKA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BANKA,General,yes
BANKO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BANKO NEAR L/A SCHOOL,General,yes
BAREKESE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BAREKESE NEAR DA PRIM SCH 'A',General,yes
BAYEREBON NO 5 CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,BAYEREBON,General,yes
BEKAMIS MEDICAL AND DIAGNOSTIC,Ashanti Region,DIAGNOSTIC,RIVATE,PREMPE STREET- MBROM  BOX KS 10306,Diagnostic,yes
BEKWAI MUNICIPAL HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,BEKWAI,General,yes
BENIM HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,BENIM,General,yes
BENITO MENNI HEALTH CENTER,Ashanti Region,HEALTH CENTRE,ISSION,ROAD TO KUMASI- COAST,General,yes
BENNYVEE CHEMIST,Ashanti Region,PHARMACY,RIVATE,BANTAMA HIGH ST,Pharmacy,yes
BEPOSO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,BEPOSO,General,yes
BESTAD CHARITY CLINIC,Ashanti Region,CLINIC,RIVATE,EFFIDUASI,General,yes
BETIAKO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,BETIAKO ABONSUASE RD,General,yes
BIEMSO NO II CHPS COMPOUND,Ashanti Region,chps compound,overnment,BIEMSO NO 2  BOX 23,General,yes
BIJAY PHARMACY LTD.,Ashanti Region,PHARMACY,RIVATE,BODUMASE,Pharmacy,yes
BIOCROWN MEDICAL LABORATORY SERVICE,Ashanti Region,LABORATORY,RIVATE,BANTAMA HIGH ST,Laboratory,yes
BIREM HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BIREM,General,yes
BMS DIAGNOSTIC LAB. SERVICES,Ashanti Region,laboratory,rivate,near Obogu health centre  krobo line,general services  laboratory,yes
BOAKYE DANKWAH MEMORIAL HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,DICHEMSO BRAHABEBOME,General,yes
BOAMANG HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,NEAR OFFINSO,General,yes
BOANIM HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BOANIM,General,yes
BOKAT PHARMACY,Ashanti Region,PHARMACY,RIVATE,OPPOSITE NYINAHIN ZONGO,Pharmacy,yes
BOMFA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BOMFA,General,yes
BOMPATA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BOMPATA NEAR PRESBY CHURCH,General,yes
BOMSO CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,BOMSO,General,yes
BONKWASO MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,BONKWASO VILLAGE,Antenatal  Post-natal,yes
BONSUA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BONSUA OFFINSO,General,yes
BONWIRE CLINIC,Ashanti Region,CLINIC,RIVATE,BONWIRE,General,yes
BROFOYEDRU HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BROFOYEDRU,General,yes
BRYANT MISSION HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,ISSION,BOETE-OBUASI,General,yes
CALVARY HEALTH SERVICES,Ashanti Region,CLINIC,RIVATE,PLOT 101 BLK K AGRIC-NWAMASI,General,yes
CARE LABORATORY,Ashanti Region,LABORATORY,RIVATE,OHWIMASE STREET KWADASO,Laboratory,yes
CARLO-ROTA PHARMACY,Ashanti Region,PHARMACY,RIVATE,MANKRASO-KUNSU HIGHWAY,Pharmacy,yes
CEDAR CREST HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ASUOFUA,General,yes
CEE DIAGNOSTIC CENTRE  KWABRE,Ashanti Region,ULTRASOUND,RIVATE,ADJACENT JUABEN RURAL BANK  ABUASO,Ultra Sound Scan,yes
CEE DIAGNOSTICS  AFIGYA,Ashanti Region,DIAGNOSTIC CENTRE,RIVATE,PLOT 97 BLK 1 SIKAFOAMTEM AGONA,Diagnostic,yes
CENTRAL MARKET HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,CENTRAL MARKET,General,yes
CENTRAL MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,PANKRONO NEAR PENTECOST CHURCH,Antenatal  Post-natal,yes
CHARLES OBIRI YEBOAH CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,BROADWAY ST OPPOSITE TOTAL FILLING STATION,Pharmacy,yes
CHARLES OSEI AGYEMAN CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,MS 23 LORRY PARK,Pharmacy,yes
CHARMA PHARMACY,Ashanti Region,PHARMACY,RIVATE,LAKE ROAD,Pharmacy,yes
CHRIST OUR HOPE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,KUMASI-MAMPONG RD  OPPOSITE THE KINGS PALACE,Antenatal  Post-natal,yes
CHRIST THE KING HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,BEHIND AHINSAN MKT,General,yes
CHURCH OF CHRIST MISSION CLINIC,Ashanti Region,health centre,ission,PLT 72 BLK C  BIBLE COLLEGE LANE BOMSO,General,yes
CHURCH OF GOD CLINIC,Ashanti Region,HEALTH CENTRE,ISSION,ESSIENIMPONG OFF EJISU-KWASO RD,General,yes
CITY HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ASOKWA,General,yes
CLEAR VIEW MEDICAL DIAGNOSTIC LTD.,Ashanti Region,diagnostic centre,rivate,Anwiam,General services  scan  ECG services  laboratory,yes
CLINILAB DIAGNOSTIC SERVICES,Ashanti Region,DIAGNOSTIC CENTRE,RIVATE,KUMASI-SUNYANI RD,Diagnostic,yes
COMFAP MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,LAKE ROAD KOKOBREKO,Antenatal  Post-natal,yes
COMFORT MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,ADUM,Antenatal  Post-natal,yes
COUNTY HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ABREPO KUMASI,General,yes
CRENSTIL PHARMACY,Ashanti Region,PHARMACY,RIVATE,SANTASI OPP OWASS TRAINING PITCH,Pharmacy,yes
DADY COS DIAGNOSTIC CENTRE,Ashanti Region,LABORATORY,RIVATE,ADJACENT DOCTOR POKU  BOX S.E. 1408 SUAME KUMASI,Laboratory,yes
DADY COS PHARMACY,Ashanti Region,PHARMACY,RIVATE,ADJACENT DOCTOR POKU  BOX S.E. 1408 SUAME KUMASI,Pharmacy,yes
DAKOPON HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ADAKO JACHIE,General,yes
DANIEL ARTHUR OTCHERE LIC CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,OBUASI-DUNKWA RD NEW BIDIEM,Pharmacy,yes
DASEBRE PHARMACY,Ashanti Region,PHARMACY,RIVATE,H/NO. NT. 8 KONONGO,Pharmacy,yes
DATANO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,DATANO,General,yes
DAWIA HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,DAWIA-AFRAM PLAINS,General,yes
DESTINY HEALTH CARE PHARMACY,Ashanti Region,PHARMACY,RIVATE,EFFIDUASI-ZONGO,Pharmacy,yes
DIPSY PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,24TH FEBRUARY RD AMAKOM,Pharmacy,yes
DISTRICT HOSPITAL-MAMPONG,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,MAMPONG KOFIASE RD,General,yes
DIVINE GRACE HOSPITAL LTD,Ashanti Region,PRIMARY HOSPITAL,RIVATE,EFFIDUASE,General,yes
DIVINE HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,OPPOSITE EJISUMAN SEC SCH,General,yes
DIVINE MERCY HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ESSASO/ESRESO VIA LAKE ROAD,General,yes
DOMEABRA MATERNITY HOME,Ashanti Region,MATERNITY HOME,OVERNMENT,DOMEABRA,Antenatal  Post-natal,yes
DONNA GIBB CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ADJACENT KOWTI STATION KSI-OBUASI ROAD,General,yes
DORA A DONKOR MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,PAKYI NO. 2,Antenatal  Post-natal,yes
DR. OSEI HOSPITAL,Ashanti Region,CLINIC,RIVATE,ABOABO-AKOREM,General,yes
DUNKIRK CLINIC,Ashanti Region,CLINIC,RIVATE,BOMPATA,General,yes
DWEASE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,DWEASE,General,yes
DWENDWENASE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,DWENDWENASE,General,yes
ECHOSCAN MED. ULTRASOUND LTD,Ashanti Region,ULTRASOUND,RIVATE,HOSPITAL ROAD OPPOSITE VODAFONE OFFICE,Ultra Sound Scan,yes
EFFIDUASI GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,EFFIDUASI,General,yes
EJISU GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,BEHIND THE MUNICIPAL ASSEMBLY,General,yes
EJURA DISTRICT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,EJURA -ATEBUBU RD NEAR PWD,General,yes
ELIM PHARMACY,Ashanti Region,PHARMACY,RIVATE,OPPO. CONSUMER CREDIT LTD WAWASI OBUASI,Pharmacy,yes
EMAHATA CLINIC,Ashanti Region,CLINIC,RIVATE,TANOSO BEHIND PHILIPO MAT,General,yes
EMEBERT CHEMIST LIMITED,Ashanti Region,PHARMACY,RIVATE,MOSHIE ZONGO FIRST STATION,Pharmacy,yes
EMMANUEL MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,BEHIND SPIERCE PRIM SCH OPPOSITE THE SENET BOETE,Antenatal  Post-natal,yes
EMMANUEL MEDICAL DIAGNOSTIC CENTRE,Ashanti Region,DIAGNOSTIC CENTRE,RIVATE,AIRPORT ROUNADBT NSENKYIRE'S BUILDING,Diagnostic,yes
EMMANUEL YAW ADJEI CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,TUNSUOM-ZONGO LORRY STATION,Pharmacy,yes
EREKEY PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,AHINSAN COCA COLA BOTTLING CO.,Pharmacy,yes
ERICA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,HNO. AN 154 BEHIND THE MARKET ANYINAMSO,Antenatal  Post-natal,yes
ERICAM PHARMACY,Ashanti Region,PHARMACY,RIVATE,BANTAMA MKT,Pharmacy,yes
ERNDOM CHEMIST,Ashanti Region,PHARMACY,RIVATE,KUMASI EJISU RD   FUMESUA-KORKORBRA,Pharmacy,yes
ERNEMA TRUST SCAN CENTER,Ashanti Region,ULTRASOUND,RIVATE,AGOGO LAKE ROAD,Ultra Sound Scan,yes
ERNEST MEDICAL CENTRE,Ashanti Region,CLINIC,RIVATE,OPP YAA ASANTEWAA MUSUEM,General,yes
ESIENKYEM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,ESIENKYEM,General,yes
ESSUOWIN HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,ESSUOWIN,General,yes
ESSUOWIN HEALTH CENTR,Ashanti Region,HEALTH CENTRE,OVERNMENT,ON TOP OF THE ESSUOWIN CEMETRY,General,yes
ESSUOWIN HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,ON TOP OF THE ESSUOWIN CEMETRY  ESSUOWIN HEALTH CENTRE BOX 1,General,yes
ESTHER MENSAH LICENSED CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,EJURA,Pharmacy,yes
EXCEL MEDICAL LABORATORY,Ashanti Region,LABORATORY,RIVATE,TECH TO TOPHIGH  BOX 178,Laboratory,yes
EYE ADOM MATERNITY & CLINIC,Ashanti Region,CLINIC,RIVATE,BROFOYEDRU,General,yes
EYE AWURADE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,ADANWOMASE BEHIND R/C PRIM SCHOOL,Antenatal  Post-natal,yes
FAMILY CARE CO LTD,Ashanti Region,PHARMACY,RIVATE,TAFO NHYIAESO,Pharmacy,yes
FAMILY CARE HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,KODIE-MOWIRE,General,yes
FENASO CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,FENASO,General,yes
FIRST CARE HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ODEHENO KWADASO,General,yes
